id;message_main_attachment_id;currency_id;company_id;group_id;root_id;create_uid;write_uid;name;code;account_type;internal_group;note;deprecated;include_initial_balance;reconcile;is_off_balance;non_trade;create_date;write_date
113;;2;3;;54049;1;1;Compra de Equipos;611000;expense;expense;;false;false;false;false;false;07-07-2023;07-07-2023
114;;2;3;;54049;1;1;Alquiler;612000;expense;expense;;false;false;false;false;false;07-07-2023;07-07-2023
115;;2;3;;54050;1;1;Comisiones bancarias;620000;expense;expense;;false;false;false;false;false;07-07-2023;07-07-2023
116;;2;3;;54051;1;1;Gastos Salariales;630000;expense;expense;;false;false;false;false;false;07-07-2023;07-07-2023
117;;2;3;;54052;1;1;Pérdida cambiaria;641000;expense;expense;;false;false;false;false;false;07-07-2023;07-07-2023
118;;2;3;;54052;1;1;Pérdida de diferencia de efectivo;642000;expense;expense;;false;false;false;false;false;07-07-2023;07-07-2023
119;;2;3;;57054;1;1;Gastos de RD;961000;expense;expense;;false;false;false;false;false;07-07-2023;07-07-2023
120;;2;3;;57054;1;1;Gastos de venta;962000;expense;expense;;false;false;false;false;false;07-07-2023;07-07-2023
121;;2;3;;49048;1;1;Cuenta por cobrar (PoS);101300;asset_receivable;asset;;false;true;true;false;false;07-07-2023;07-07-2023
122;;2;3;;54052;1;1;Pérdida de descuento en efectivo;643000;expense;expense;;false;false;false;false;false;07-07-2023;07-07-2023
123;;2;3;;52052;1;1;Ganancia de descuento en efectivo;443000;income;income;;false;false;false;false;false;07-07-2023;07-07-2023
124;;2;3;;49048;1;1;cuenta transitoria;101401;asset_current;asset;;false;true;false;false;false;07-07-2023;07-07-2023
125;;2;3;;49048;1;1;Recibos pendientes;101402;asset_current;asset;;false;true;true;false;false;07-07-2023;07-07-2023
126;;2;3;;49048;1;1;Pagos pendientes;101403;asset_current;asset;;false;true;true;false;false;07-07-2023;07-07-2023
127;;2;3;;49048;1;1;Efectivo;101501;asset_cash;asset;;false;true;false;false;false;07-07-2023;07-07-2023
128;;2;3;;49048;1;1;Banco;101404;asset_cash;asset;;false;true;false;false;false;07-07-2023;07-07-2023
129;;2;3;;57057;1;1;Ganancias/pérdidas no distribuidas;999999;equity_unaffected;equity;;false;true;false;false;false;07-07-2023;07-07-2023
130;;2;4;;49048;1;1;Transferencia de liquidez;101701;asset_current;asset;;false;true;true;false;false;07-07-2023;07-07-2023
131;;2;4;;49048;1;1;Activos circulantes;101000;asset_current;asset;;false;true;false;false;false;07-07-2023;07-07-2023
132;;2;4;;49049;1;1;Valoración de acciones;110100;asset_current;asset;;false;true;false;false;false;07-07-2023;07-07-2023
